order_id,products
28651,47626
28707,5479
28710,13176
28715,30142
28763,None
28767,24852
28777,13176
28823,21288
28858,24852
28869,24852
28873,24852
28926,None
28969,13176
28986,49235
28995,33198
29073,21903
29096,30489
29193,21903
29212,39275
29213,13176
29282,None
29283,196
29511,None
29593,27086
29600,38996
29615,25890
29648,13176
29737,47209
29834,24852
29848,21137
29924,9387
29973,None
29990,18362
29992,None
30016,24852
30052,24852
30090,47626
30151,24838
30163,24852
30202,27966
30213,13176
30223,24852
30284,None
30307,26209
30315,13176
30525,49247
30542,19660
30604,1158
30787,47759
30796,32478
30811,6184
30919,13176
30928,13176
30995,None
30999,13176
31010,None
31052,47766
31192,24852
31360,13176
31367,38371
31381,4920
31458,13176
31500,16797
31639,45002
31650,None
31731,47209
31766,45123
31805,None
31918,13176
31926,49235
31927,13176
31954,3990
31986,21137
32002,21903
32050,23734
32059,21573
32075,24852
32097,47209
32109,None
32136,49683
32139,4605
32180,21137
32193,24852
32270,41950
32360,19678
32373,13176
32394,29487
32403,13176
32407,13176
32452,21709
32462,12606
32586,13176
32635,24852
32690,47766
32706,None
32714,40939
32728,24852
32790,20955
32878,None
32883,26369
32954,5876
33006,24852
33031,13176
33047,10070
33087,13176
33115,13176
33118,13176
33135,26209
33154,None
33171,21903
33323,21137
33352,None
33475,24852
33505,None
33529,28199
33545,24852
33563,None
33611,13176
33632,46654
33639,None
33707,24852
33832,12341
33895,None
33938,None
33946,13176
33951,24852
33969,None
34042,21903
34061,38028
34078,37158
34168,39275
34218,None
34233,26317
34362,39581
34416,13176
34417,21903
34418,21137
34454,40706
34474,None
34518,None
34523,23716
34550,21903
34571,21137
34585,13176
34632,24852
34682,13176
34692,None
34696,13176
34707,21295
34815,44632
34817,24852
34826,39993
34858,21903
34905,24852
35068,None
35125,38383
35202,None
35214,28849
35379,28427
35386,37687
35417,21019
35447,None
35524,19660
35600,None
35632,24852
35635,None
35668,None
35746,49235
35783,24852
35823,8859
35840,24852
35859,24852
35866,24852
35868,24852
35887,16185
35913,None
36011,None
36031,None
36049,13176
36152,None
36274,24852
36320,24852
36340,19660
36350,28985
36450,None
36498,None
36535,21137
36564,24852
36679,13176
36727,30639
36740,47977
36750,49235
36763,24852
36791,5258
36797,None
36825,None
36860,24852
36863,13176
36878,22474
36887,13176
36898,49683
36908,24852
36939,47209
36966,47977
36971,5098
36977,45007
36983,47626
36998,None
37040,21137
37143,None
37147,24852
37150,13176
37177,None
37243,35221
37269,49683
37291,None
37374,None
37402,None
37423,None
37424,None
37546,41844
37553,None
37575,13176
37580,47766
37586,4605
37614,44359
37642,24852
37721,13176
37733,24852
37746,24852
37863,24852
37888,None
37890,None
37892,None
37954,13176
38016,None
38122,45622
38134,5876
38139,47766
38202,None
38261,21938
38383,39276
38414,24852
38425,27845
38429,None
38536,47912
38613,47626
38621,12341
38644,16797
38793,None
38802,None
38807,None
38818,27966
38949,24852
38977,None
38983,24852
38995,None
39011,12916
39065,24852
39109,24852
39112,21137
39116,24852
39147,24964
39157,22935
39195,24852
39207,None
39289,13176
39313,None
39315,8277
39384,13176
39432,47209
39448,24852
39499,21903
39514,28199
39522,None
39606,13176
39629,None
39646,1940
39702,47209
39717,30639
39792,40604
39835,22142
39872,13176
39899,None
39951,27845
39952,13176
40033,None
40034,21903
40070,13176
40127,None
40154,26209
40182,24838
40378,30391
40511,24852
40574,13176
40650,None
40657,13176
40749,13176
40780,28842
40876,None
40885,None
40888,47766
40966,16953
40967,45948
40983,30233
41078,33129
41083,17316
41117,24852
41143,None
41178,24852
41192,None
41211,None
41400,5077
41470,21137
41564,None
41582,37158
41642,24852
41663,47626
41783,None
41789,24852
41790,13176
41823,4920
41825,None
41832,19348
41913,None
41924,5646
42002,19660
42035,13176
42050,None
42061,23888
42093,None
42166,13176
42206,24852
42262,39275
42316,196
42365,13176
42372,13176
42394,13176
42457,None
42459,41238
42477,47626
42483,21137
42540,None
42545,26209
42581,38944
42610,None
42612,21137
42677,24852
42701,13176
42748,47766
42770,None
42785,13176
42810,24852
42829,None
42972,40199
43055,None
43058,42240
43171,45007
43273,13176
43287,16398
43313,22935
43314,None
43349,24852
43407,27966
43444,None
43464,None
43529,None
43531,None
43668,21137
43696,40706
43714,22935
43783,None
43784,45066
43882,13176
43894,30233
43927,13176
43943,21137
43956,None
43967,24852
44001,13176
44007,13176
44031,1940
44057,24852
44098,13176
44123,13176
44134,None
44165,None
44176,None
44216,28465
44269,21709
44357,13176
44378,24852
44379,None
44404,21903
44436,24852
44455,22935
44510,24852
44533,21137
44559,4920
44712,27104
44808,None
44811,46041
44877,None
44897,5258
44951,None
45013,None
45029,13176
45071,26209
45074,4724
45120,18721
45139,23288
45188,None
45219,24852
45258,24838
45309,40706
45342,19488
45351,47626
45383,24852
45389,None
45400,13176
45430,13249
45487,21137
45527,None
45553,24852
45581,11520
45591,24852
45605,39275
45670,24852
45708,None
45821,21137
46015,24852
46057,5876
46073,24852
46163,None
46238,13176
46290,23288
46304,13176
46457,40706
46468,None
46510,13176
46511,47626
46569,21903
46604,None
46648,43263
46675,49683
46690,22935
46736,13176
46776,None
46789,13176
46802,13176
46827,None
46867,13176
46900,None
46947,47766
47042,20114
47094,24852
47128,None
47131,21137
47321,30827
47411,13176
47459,13176
47530,33000
47596,24852
47606,None
47677,None
47679,34335
47729,13176
47746,13176
47777,28934
47887,27336
47944,39657
47958,24852
48011,None
48058,26348
48096,47766
48240,47144
48297,13176
48346,43961
48544,None
48547,None
48591,None
48648,27966
48649,47626
48691,47766
48786,42265
48866,13176
48879,24852
48890,42265
48948,None
49006,None
49089,6532
49098,24852
49158,22935
49209,34126
49225,None
49320,24852
49388,24852
49437,21903
49513,6184
49514,26530
49550,21137
49592,32655
49617,25146
49656,None
49674,16797
49678,34358
49826,13176
49871,None
49893,None
49926,32689
49927,24852
49990,None
49995,None
50009,49683
50026,5785
50118,35898
50182,25890
50214,24852
50250,38768
50295,27966
50323,9839
50368,44632
50391,31506
50430,None
50478,37646
50482,24852
50509,38689
50510,22935
50563,21137
50568,40706
50574,27104
50595,24852
50637,24852
50670,None
50819,24852
50865,41950
51072,44142
51122,24852
51141,13176
51175,None
51200,None
51203,21903
51218,31759
51222,None
51234,41950
51265,None
51269,14233
51357,47626
51443,13176
51583,21903
51612,None
51731,27344
51764,29487
51780,13176
51823,24852
51964,13176
52040,13740
52112,None
52189,24852
52239,13176
52241,None
52283,24852
52336,4920
52450,24852
52468,1940
52626,24852
52627,None
52731,None
52777,None
52848,17794
52853,24852
52865,49683
52894,21137
52906,None
52907,21137
53018,21903
53110,20540
53112,2966
53137,21137
53144,24852
53212,24852
53277,None
53298,13176
53457,13176
53495,None
53501,44632
53574,27086
53623,None
53699,None
53766,45066
53771,24852
53794,30776
53822,34969
53885,47209
53886,24852
53974,13176
54031,45007
54134,49683
54188,24852
54243,None
54292,24222
54293,24852
54331,27845
54392,None
54420,None
54488,33198
54495,24852
54563,21903
54603,10957
54765,21903
54773,None
54830,24852
54891,None
54946,None
54983,13176
55106,27966
55125,None
55171,21616
55198,27845
55210,13176
55242,23734
55266,24852
55288,None
55319,47766
55347,13176
55429,None
55455,None
55472,13176
55605,16797
55661,1463
55684,21903
55708,47626
55786,9358
55834,None
55841,5884
55975,21903
56041,16797
56078,24852
56111,33731
56121,None
56157,None
56216,None
56241,30391
56283,21903
56309,None
56312,None
56317,None
56335,13176
56387,24852
56628,21137
56702,None
56707,26209
56739,39108
56753,None
56756,None
56827,None
56880,20161
56913,21137
56939,None
56946,24852
56955,None
57058,24852
57117,11819
57130,47209
57180,24852
57197,45007
57220,None
57286,14947
57314,47626
57464,None
57492,24852
57499,21903
57541,13176
57614,13176
57766,13176
57799,13176
57816,24852
57819,13176
57971,21903
58029,None
58146,16965
58195,13176
58201,None
58251,13176
58257,21137
58274,None
58386,None
58422,None
58481,None
58536,49235
58584,13176
58758,None
58809,24852
58816,21616
58937,47626
58980,39275
59031,196
59055,None
59057,13176
59141,None
59163,21137
59201,47209
59291,24852
59379,24852
59386,None
59391,45007
59392,None
59423,47766
59495,None
59499,13176
59519,28842
59647,5479
59684,13176
59794,None
59803,None
59832,20940
59834,None
59850,6184
59873,31343
59877,24852
59885,44560
59895,27086
59929,44334
59961,None
59994,24852
60054,21137
60060,47209
60115,None
60152,44632
60213,47209
60224,None
60225,21903
60340,22935
60350,47209
60396,47209
60402,28204
60461,47626
60526,37646
60535,24852
60560,None
60752,13176
60798,None
60878,47209
60884,27156
60993,21137
61192,24852
61209,None
61318,29487
61342,None
61362,47766
61374,24852
61423,None
61478,None
61491,881
61501,None
61544,None
61551,44632
61591,5077
61697,16797
61739,None
61746,47209
61776,7751
61782,21137
61838,27966
61869,24838
62089,24852
62146,43352
62166,None
62172,None
62349,None
62415,None
62499,None
62566,None
62758,45123
62771,19514
62797,40310
62904,None
62964,16797
63007,13176
63055,39275
63059,13176
63146,47209
63199,26209
63213,13176
63284,24964
63285,31394
63367,24852
63382,16953
63389,21903
63466,16797
63471,None
63558,None
63570,28156
63648,None
63676,None
63684,33136
63768,24852
63793,None
63871,24852
63986,24852
64145,13176
64170,38400
64244,13176
64354,None
64359,5077
64365,24852
64387,47766
64401,23537
64437,39993
64507,None
64509,24852
64567,47766
64750,13176
64803,13176
64814,24852
64834,None
64882,24852
64899,39275
65008,24852
65367,24852
65392,47209
65428,None
65432,24852
65434,9076
65467,33198
65626,None
65645,24852
65734,None
65761,21386
65769,24852
65824,24964
65847,28204
65865,24852
65916,13176
65970,432
66062,39275
66111,None
66134,47626
66136,47626
66160,8518
66212,26209
66213,13176
66220,196
66273,21137
66278,None
66427,8277
66542,28842
66608,24852
66674,None
66690,None
66729,42265
66767,24852
66818,24852
66879,30949
66953,25931
66966,None
67072,8859
67172,29487
67225,47626
67252,24852
67271,None
67297,21137
67364,21903
67379,13176
67403,13176
67424,44632
67432,27845
67449,10957
67529,24852
67552,13176
67634,24852
67656,49235
67671,27845
67716,27325
67802,13176
67834,27966
67841,17862
67890,24852
67918,13176
67942,5258
67973,13176
67982,34969
68007,None
68008,21137
68042,None
68111,13176
68117,35267
68190,14870
68208,24852
68231,47209
68252,None
68298,33000
68307,21386
68331,13176
68363,3407
68365,None
68406,49683
68484,None
68542,31759
68550,24964
68643,18441
68673,24852
68836,24852
68843,47626
68882,30391
68919,24852
68929,31040
68974,21903
68980,45190
69141,None
69247,None
69314,39275
69343,24852
69372,16797
69397,43154
69452,24852
69463,13176
69550,None
69551,21137
69566,13176
69567,13176
69663,24852
69687,47766
69694,39275
69748,17976
69799,47209
69867,39275
69897,None
69932,13176
69937,27845
69953,None
69974,None
70159,36591
70175,41960
70211,11182
70244,24852
70277,4942
70310,47766
70472,49683
70503,45066
70523,None
70527,24852
70560,47209
70603,47766
70679,13176
70691,34243
70724,24852
70748,5876
70831,13176
70845,47809
70904,24852
70934,21903
71030,21903
71050,5876
71053,10749
71133,24852
71174,13176
71252,13176
71306,21137
71423,8277
71434,24852
71462,12341
71473,None
71480,43352
71563,13176
71601,None
71622,13176
71694,27325
71736,None
71742,31717
71777,42240
71785,None
71816,26209
71853,49683
71868,42731
71871,21137
71889,27845
71897,21137
71906,None
71939,None
71975,32689
72012,None
72073,None
72140,13176
72197,21137
72359,None
72374,13176
72511,None
72520,None
72559,None
72589,47626
72607,13176
72746,26209
72763,13176
72767,5782
72830,13176
72923,24852
73009,13176
73035,21903
73042,13176
73051,24852
73125,39275
73136,None
73143,21903
73184,47626
73268,13176
73379,None
73392,39275
73393,46692
73435,24852
73520,24852
73558,None
73603,21137
74088,21267
74094,None
74116,24852
74145,44632
74182,None
74323,19660
74459,42265
74484,None
74493,24852
74496,None
74540,None
74583,42265
74590,24852
74636,24852
74701,30406
74774,None
74969,24852
75014,8955
75047,None
75069,24852
75242,2240
75306,28451
75314,22959
75330,None
75351,19348
75375,24852
75503,None
75515,24852
75665,28204
75758,21137
75763,20940
75768,47766
75797,None
75802,None
75881,None
75886,13176
75891,None
75905,30827
75943,None
75961,None
76046,None
76118,24852
76164,38768
76188,24852
76266,24852
76335,24852
76356,4605
76383,21903
76405,27966
76455,13176
76527,21137
76623,None
76633,24852
76823,16797
76944,13176
76989,12872
77050,21903
77060,10957
77120,24852
77128,24852
77135,None
77136,12341
77168,None
77174,None
77183,5258
77370,47626
77372,24852
77376,None
77389,24427
77413,None
77455,4605
77466,13176
77547,None
77570,13176
77581,None
77607,None
77720,None
77795,None
77826,None
77982,37646
77985,13176
78006,13176
78014,None
78025,46979
78071,13176
78127,47209
78170,None
78270,21137
78299,24852
78322,33065
78342,21137
78396,24852
78414,23734
78491,21573
78595,13176
78616,12606
78677,None
78696,None
78863,None
78993,47626
79062,13176
79103,13176
79185,21137
79187,47209
79197,24852
79234,None
79256,43961
79340,20955
79345,40198
79424,21137
79464,None
79522,24852
79626,47209
79669,20824
79725,33768
79726,13176
79741,47209
79760,None
79762,27966
79767,24852
79863,None
79869,None
79890,None
80033,24852
80052,None
80216,13176
80305,31506
80322,24852
80328,13176
80406,45007
80517,None
80532,48679
80548,24852
80583,24852
80620,47766
80662,39275
80761,31717
80809,47766
80838,4605
80876,13176
80940,21903
80946,20940
80957,24852
81028,None
81044,None
81124,None
81154,None
81165,None
81217,26209
81258,27845
81376,27086
81420,None
81553,24852
81735,42342
81740,24852
81780,13176
81787,1194
81801,21137
81813,24852
81894,13176
82097,24852
82098,24852
82109,22935
82128,None
82217,None
82277,43352
82368,13176
82398,25146
82409,26209
82437,47766
82536,None
82591,44683
82592,13176
82598,13176
82619,33731
82623,24852
82652,24852
82711,13176
82727,24852
82728,32455
82780,13176
82823,None
82880,24852
82908,24852
82951,13176
82965,28204
82998,None
83029,None
83079,5785
83086,40709
83131,None
83174,39928
83204,49235
83250,None
83316,None
83321,24852
83325,None
83347,24852
83440,24852
83495,13176
83506,21616
83516,None
83611,None
83711,24852
83744,None
83798,None
83851,44142
83862,None
83959,21137
83993,8193
84005,None
84054,14947
84082,46175
84131,24852
84209,13176
84363,26209
84389,5450
84414,24852
84482,None
84486,24852
84543,27845
84561,15613
84574,None
84578,47209
84599,13176
84699,47209
84702,49235
84753,None
84768,24838
84814,26620
84836,7862
84861,47766
84950,13176
84958,13176
85039,13176
85069,49235
85085,22825
85098,None
85255,5876
85259,24852
85298,26209
85345,24852
85355,None
85398,None
85518,34969
85519,None
85604,5077
85798,24983
85816,13176
85861,47626
85876,47209
85889,24852
85916,21137
85942,24852
86061,None
86104,21903
86105,20842
86181,21903
86276,None
86295,24852
86307,196
86375,13176
86497,None
86501,None
86515,41400
86649,43352
86764,33000
86776,35887
86791,None
86915,13176
86956,21137
87008,None
87085,39275
87151,None
87182,24852
87335,47626
87340,24852
87342,22035
87344,27845
87353,38028
87416,28204
87497,24852
87588,None
87598,47766
87660,None
87691,24852
87724,47766
87840,47626
87871,21386
87875,None
87890,30489
87935,24852
87972,37158
87973,4920
88101,24852
88122,None
88155,16797
88206,24852
88238,21903
88252,21903
88259,44487
88331,24852
88391,22935
88435,24852
88514,21137
88629,24852
88665,24852
88675,196
88699,13176
88709,34969
88913,13176
88953,None
89049,43352
89069,None
89094,21137
89102,None
89123,24852
89131,None
89141,26209
89207,44632
89381,None
89471,24852
89494,21137
89500,13176
89520,47626
89566,29615
89584,22963
89609,16797
89687,None
89708,24852
89753,26209
89774,8021
89776,None
89830,24852
89844,None
89896,4374
89916,32689
90082,24852
90110,None
90151,None
90202,None
90209,26209
90225,None
90261,13176
90318,None
90382,47766
90574,28985
90600,44632
90694,47144
90705,19660
90737,37687
90767,13176
90905,None
90915,21137
90925,37710
90958,13176
91044,None
91185,26165
91412,13176
91423,11512
91565,None
91579,16797
91584,19660
91618,13176
91636,13176
91700,45007
91742,None
91752,27966
91767,None
91773,47766
91775,41950
91850,31848
91860,13176
91874,47626
91981,39275
92189,24852
92200,None
92224,21903
92258,None
92284,24852
92308,44632
92358,44632
92453,None
92468,13176
92588,31422
92605,24852
92633,None
92665,26348
92696,16797
92717,13176
92825,None
93007,22935
93009,24852
93043,5077
93076,None
93254,13176
93324,21903
93356,22935
93374,None
93399,None
93400,21137
93435,None
93460,None
93588,24852
93611,10957
93647,None
93703,24852
93746,890
93902,28842
93936,14084
93974,16797
93988,None
94105,27845
94109,26209
94126,21903
94178,49683
94307,None
94363,13176
94394,13176
94462,16797
94496,None
94579,13176
94588,42315
94597,None
94629,34969
94653,None
94663,27845
94726,16797
94756,21137
94871,None
94911,None
94933,None
94957,13176
95029,24852
95037,13176
95068,43295
95070,None
95109,21137
95132,None
95356,4920
95378,19660
95395,21903
95399,None
95412,None
95493,13176
95522,None
95557,13176
95597,13176
95707,32478
95713,21267
95743,None
95805,None
95916,None
95955,27521
96054,24852
96108,None
96131,None
96203,46654
96285,13176
96348,None
96513,13176
96518,21709
96530,26209
96537,None
96554,None
96570,None
96660,42342
96691,None
96712,44479
96722,13176
96738,3520
96842,None
96889,13176
96897,33198
96944,41220
96982,None
97011,21903
97029,35951
97101,49235
97203,13176
97226,47766
97296,24852
97325,None
97328,None
97386,13176
97421,17794
97476,23909
97496,34214
97519,33198
97645,None
97654,None
97668,13176
97677,42450
97771,4639
97834,47626
97867,35221
97906,13176
97934,None
98020,None
98090,46802
98189,8174
98197,13176
98209,None
98256,None
98291,None
98365,24852
98426,13176
98439,None
98513,39275
98515,8048
98638,27086
98713,31981
98749,21137
98846,19348
98888,13176
99027,21903
99040,13176
99132,8571
99183,24852
99195,13176
99257,47766
99324,196
99466,27845
99497,28842
99530,13176
99570,None
99603,24852
99613,24852
99622,None
99623,13176
99674,None
99699,24852
99713,24852
99717,47626
99726,None
99739,27323
99834,17794
99842,13176
99976,None
100096,13176
100107,27020
100124,21903
100159,13176
100189,19019
100190,13176
100200,31683
100242,21137
100298,24852
100315,None
100384,24852
100440,24852
100447,47626
100449,39275
100526,21137
100668,24852
100693,None
100838,21137
100867,24852
100915,None
100949,None
101035,38689
101079,None
101178,24852
101218,21137
101273,None
101327,24852
101350,None
101364,13176
101409,24852
101466,21137
101528,13176
101582,22260
101638,21903
101640,27845
101649,44632
101657,8277
101710,13176
101725,13535
101750,None
101828,None
101914,21903
101933,None
101974,8518
102008,5161
102085,37710
102099,None
102105,24852
102205,24852
102242,24852
102245,13176
102395,28985
102427,21903
102513,21019
102544,19660
102569,31717
102598,None
102627,17862
102648,49683
102709,8859
102821,24852
102878,13176
102903,13176
102942,16797
103079,38890
103115,47626
103135,45636
103139,8667
103158,47766
103248,9387
103309,8277
103310,24852
103448,None
103467,21137
103482,4957
103487,15424
103488,5077
103737,47144
103763,None
103796,49683
103802,24852
103827,None
103833,21137
103845,24852
103861,13176
103882,8277
103920,13176
103925,None
103932,27845
103947,None
103972,None
104047,27966
104062,24852
104182,None
104198,None
104239,13176
104288,None
104318,24852
104383,39275
104388,28476
104404,24852
104425,11520
104607,24852
104614,41387
104662,45645
104699,None
104706,28156
104716,26497
104762,49683
104932,None
104939,21573
104951,None
105078,None
105111,None
105129,27966
105162,7600
105196,13176
105230,3298
105238,45004
105239,43352
105275,None
105355,None
105449,None
105488,47626
105512,8021
105524,None
105531,24852
105606,46842
105639,None
105694,24852
105729,24852
105743,None
105807,20940
105858,45066
105956,None
105965,None
106041,41665
106100,16797
106107,47626
106118,24852
106213,13176
106251,21903
106326,24852
106358,19660
106413,None
106512,24852
106582,18926
106614,13176
106627,16696
106789,13176
106802,None
106835,24852
106876,21903
107025,None
107097,None
107193,49683
107396,26209
107400,24852
107415,24852
107427,16797
107436,196
107496,None
107611,None
107669,24852
107728,38544
107762,43295
107773,26767
107805,13176
107891,None
108008,47766
108021,None
108084,35221
108133,24852
108251,30776
108342,24852
108368,30391
108383,None
108396,13176
108416,10957
108483,None
108500,24852
108555,47626
108565,None
108567,None
108675,13176
108711,24852
108783,None
108815,24852
108827,None
108878,32650
108886,None
108965,28985
109002,24852
109052,22959
109060,47766
109068,47766
109072,39275
109088,None
109109,24852
109110,24852
109170,31981
109398,32403
109422,13176
109440,13176
109448,4920
109451,None
109508,43295
109562,13176
109576,24852
109642,14992
109660,21137
109687,8277
109716,None
109730,35535
109766,4920
109798,13176
109805,None
109816,32478
109819,39275
109890,9076
109901,13176
109909,196
109911,24852
110041,21903
110055,24852
110067,38060
110088,None
110118,49235
110121,24852
110126,9387
110154,24852
110195,27966
110243,28204
110417,13176
110585,None
110614,47626
110631,None
110670,13176
110800,27104
110809,None
110889,24852
110912,26209
110914,None
110921,45149
110961,47626
111076,43961
111108,22935
111161,13176
111170,None
111176,21709
111232,None
111277,16797
111284,21137
111290,26209
111349,47766
111436,43772
111438,40310
111635,47626
111636,13176
111707,16797
111763,13176
111782,27845
111806,None
111807,24852
111857,49235
111870,None
112031,19057
112060,27104
112266,24852
112268,39475
112276,None
112316,None
112334,4210
